id,neighbourhood,neighbourhood_cleansed,accommodates,price,number_of_reviews,review_scores_rating
295755,,I Centro Storico,8,$342.00,26,4.54
297562,,I Centro Storico,2,$340.00,8,4.63
297635,,VII San Giovanni/Cinecittà,6,$69.00,5,3.33
297933,,VII San Giovanni/Cinecittà,6,$69.00,1,5.0
298031,"Rome, Lazio, Italy",I Centro Storico,4,$200.00,323,4.61
299695,"Rome, Lazio, Italy",XIII Aurelia,3,$159.00,183,4.9
329551,"Rome, Lazio, Italy",II Parioli/Nomentano,4,,7,3.57
329646,,II Parioli/Nomentano,2,$92.00,59,4.73
329669,,II Parioli/Nomentano,2,$103.00,30,4.63
330798,"Rome, Lazio, Italy",XV Cassia/Flaminia,4,$93.00,16,4.88
332616,"Rome, Lazio, Italy",I Centro Storico,3,$190.00,132,4.75
332998,"Rome, Lazio, Italy",I Centro Storico,4,$109.00,167,4.82
334323,,I Centro Storico,5,$294.00,181,4.76
335009,"Rome, Lazio, Italy",I Centro Storico,4,$171.00,120,4.83
336413,"Rome, Lazio, Italy",XI Arvalia/Portuense,3,$126.00,55,4.6
300848,"Rome, Lazio, Italy",XII Monte Verde,4,$119.00,398,4.76
302154,"Rome, Lazio, Italy",I Centro Storico,9,$339.00,199,4.87
302157,,I Centro Storico,9,$303.00,143,4.92
305009,"Rome, Lazio, Italy",I Centro Storico,3,$124.00,194,4.73
305081,,I Centro Storico,2,$112.00,501,4.86
307429,,I Centro Storico,2,$140.00,592,4.67
307892,"Rome, Lazio, Italy",X Ostia/Acilia,5,$87.00,31,4.52
309086,,I Centro Storico,3,$117.00,8,4.88
339319,"Rome, Lazio, Italy",VIII Appia Antica,2,$65.00,4,5.0
339692,"Rome, Lazio, Italy",I Centro Storico,5,$160.00,506,4.66
340097,"Rome, Province of Rome, Italy",I Centro Storico,5,$158.00,32,4.5
340173,,IV Tiburtina,4,$133.00,0,
341703,"Rome, Italia, Italy",X Ostia/Acilia,2,$180.00,27,4.93
342058,"Rome, Lazio, Italy",I Centro Storico,4,$165.00,3,4.33
343883,"Rome, Lazio, Italy",I Centro Storico,3,$300.00,58,4.95
353864,,I Centro Storico,2,,51,4.06
354159,,XIV Monte Mario,5,$91.00,22,4.59
356046,"Rome, Lazio, Italy",I Centro Storico,1,$180.00,363,4.88
310005,"Rome, Lazio, Italy",I Centro Storico,2,$86.00,64,4.73
315264,"Rome, Lazio, Italy",II Parioli/Nomentano,2,$151.00,100,4.74
317380,"Rome, Lazio, Italy",I Centro Storico,3,$189.00,343,4.86
320025,"Rome, Italia, Italy",X Ostia/Acilia,3,$176.00,9,4.5
322226,"Rome, Lazio, Italy",II Parioli/Nomentano,4,$320.00,107,4.68
361395,,XII Monte Verde,2,,13,4.85
363364,"Rome, Lazio, Italy",IX Eur,1,$59.00,34,4.97
366441,"Rome, Italia, Italy",X Ostia/Acilia,2,$133.00,37,4.86
370630,"Rome, Lazio, Italy",I Centro Storico,3,$127.00,13,4.31
377095,,I Centro Storico,6,$140.00,168,4.43
383422,"Rome, Lazio, Italy",I Centro Storico,4,,116,4.21
384369,"Rome, Lazio, Italy",VII San Giovanni/Cinecittà,2,$119.00,1,5.0
386625,"Rome, La, Italy",VIII Appia Antica,2,$143.00,94,4.82
322298,"Rome, Lazio, Italy",XV Cassia/Flaminia,2,$90.00,25,4.88
322712,"Rome, Lazio, Italy",I Centro Storico,4,$180.00,66,4.24
323283,"Rome, Lazio, Italy",VII San Giovanni/Cinecittà,2,$75.00,93,4.79
325175,"Rome, Lazio, Italy",I Centro Storico,2,$172.00,300,4.66
473219,"Rome, Lazio, Italy",VII San Giovanni/Cinecittà,2,,8,4.0
473825,"Rome, Lazio, Italy",II Parioli/Nomentano,3,$63.00,140,4.69
475751,"Rome, Lazio, Italy",I Centro Storico,3,$136.00,341,4.66
482695,"Rome, Lazio, Italy",II Parioli/Nomentano,5,$158.00,72,4.72
387704,"Rome, Lazio, Italy",XIV Monte Mario,2,$73.00,72,4.8
392407,,VII San Giovanni/Cinecittà,2,$78.00,16,4.87
394822,"Rome, Lazio, Italy",XII Monte Verde,2,$124.00,273,4.53
395813,,X Ostia/Acilia,6,$59.00,7,3.57
396074,,V Prenestino/Centocelle,2,$106.00,0,
396836,,X Ostia/Acilia,5,$43.00,3,4.33
